duty,name,require
负责企业微信应用类后台系统开发/维护/运营工作。,WXG10-113 企业微信后台开发工程师（广州）,"1. 本科及以上学历，计算机或相关专业； 
2. 责任感强、有较强的逻辑思维能力、沟通能力、能够承担工作压力； 
3. 熟练掌握C、C++语言，熟悉LINUX开发环境，在网络处理、存储架构等海量数据处理方面有专长优先； 
4. 有后台业务开发、维护经验优先； 
5. 熟悉无线互联网服务及应用开发者优先。"
负责企业微信第三应用接入的相关产品工作。 负责第三方应用市场的相关产品策划，包括功能模块的策略制定、功能设计及推动上线等； 负责第三方应用接入的整体规划，细化不同类型应用的接入计划和优先级； 与合作伙伴负责人对接，审视应用的价值和重要性，安排和推动应用快速接入； 理解第三方应用的使用场景和定位，以用户价值和体验思维帮助合作伙伴梳理产品定位、功能框架、交互和体验；,WXG10-113 企业微信后台开发工程师（广州）, 本科及以上学历，2年以上互联网产品策划工作经验，有企业产品背景更佳； 对用户体验有较深入了解者优先。对移动互联网有很好的理解和兴趣； 很强的逻辑能力、系统思考能力并具优秀产品意识；
"负责fpga、芯片等异构计算硬件和软件的设计和研发，包括：
芯片从需求分析到流片全流程体系建设，保障芯片研发的高效率和高质量。研发异构硬件匹配的编译器等软件框架，提升硬件使用效率和便利性。
针对业务发展需求，与算法团队和作，分析业务算法软件性能瓶颈， 规划设计与业务相匹配的异构计算软硬件产品构架。
跟踪深度学习及系统硬件架构的最新发展，设计开发高性能低功耗的架构、芯片及硬件产品。
",WXG10-113 企业微信后台开发工程师（广州）,"硕士及以上学历，8年以上相关工作经验；
对深度神经网络、计算机体系结构有深入的理解；
有丰富的芯片行业从业经验，对芯片前后端流程非常熟悉。"
"负责终端数据传输组件的研发工作，为游戏、流媒体等场景提供移动端网络传输解决方案；
负责重点项目的终端技术攻坚。",WXG10-113 企业微信后台开发工程师（广州）,"本科及以上学历，2年以上终端基础组件开发经验;
熟悉TCP/IP协议;
良好的C/C++功底，熟悉终端特性，具备解决终端兼容性问题的能力;
有P2P、音视频流媒体开发经验者优先。"
"在互联网行业内（包含移动互联网），负责腾讯云计算服务等相关产品的商务工作，包括目标客户的开发、维护、跟进，达成制定的商务指标； 
定期拜访目标客户，充分了解客户需求并积极跟进，制定合理方案，负责方案提示、谈判，追踪公司相关部门的维持与大客户的良好业务关系，及时更新公司产品信息，传达企业及品牌文化； 
建立大客户档案，确保各项资料完整，准确，并做好动态管理。",WXG10-113 企业微信后台开发工程师（广州）,"本科以上学历，通信、计算机等工科专业；
2年以上云计算领域，或3年以上通信行业、IDC行业工作相关经历，有纯to B的大客户销售经验，和独立完成大型项目的经验； 
有良好的互联网行业（互联网企业、移动APP、电商/O2O等）人脉资源优先；
熟悉电信运营商，熟悉IDC和云计算行业竞争行情的优先；
有工作热情，工作态度端正，能够积极主动去工作，且具有良好的谈判能力和说服及语言表达能力。  通过腾讯云技术认证或同等资格认证的优先录取。"
"在互联网行业内（包含移动互联网），负责腾讯云计算服务等相关产品的商务工作，包括目标客户的开发、维护、跟进，达成制定的商务指标； 
定期拜访目标客户，充分了解客户需求并积极跟进，制定合理方案，负责方案提示、谈判，追踪公司相关部门的维持与大客户的良好业务关系，及时更新公司产品信息，传达企业及品牌文化； 
建立大客户档案，确保各项资料完整，准确，并做好动态管理。",WXG10-113 企业微信后台开发工程师（广州）,"本科以上学历，通信、计算机等工科专业；
2年以上云计算领域，或3年以上通信行业、IDC行业工作相关经历，有纯to B的大客户销售经验，和独立完成大型项目的经验； 
有良好的互联网行业（互联网企业、移动APP、电商/O2O等）人脉资源优先；
熟悉电信运营商，熟悉IDC和云计算行业竞争行情的优先；
有工作热情，工作态度端正，能够积极主动去工作，且具有良好的谈判能力和说服及语言表达能力。  通过腾讯云技术认证或同等资格认证的优先录取。"
"腾讯海量平台产品架构技术解决方案研究；
机器学习框架深度定制与优化；
BG资源规划和预算制定；
跨部门联合项目的项目管理工作；",TEG10-高级规划工程师(深圳),"本科以上学历，从事过互联网产品后台架构开发设计、运维或项目管理工作； 
参与过产品架构设计和开发，具有大容量、高性能和分布式架构设计开发经验，有架构优化经验优先；
具有良好的分析、研究和解决问题能力、解决方案制定和行业分析研究能力；
具有良好的沟通、表达、团队协作和项目管理能力；
工作踏实、积极主动、能够承受压力。"
"负责海外浏览器信息流推荐系统的设计与开发；
负责推荐算法的设计与开发，推荐模型的训练及相应平台的研发；
持续优化推荐算法的效果、效率及用户体验。
",TEG10-高级规划工程师(深圳),"计算机或相关专业本科以上学历，三年以上互联网工作经验；
熟练掌握C/C++和python语言编程，熟悉linux开发环境，有扎实的数据结构和算法设计功底；
熟悉推荐业务常用理论和算法，在多个领域（如排序模型，召回模型，用户画像，深度学习等）有3年以上实际工作经验；
有优秀的逻辑思维能力和数据分析能力，善于分析和解决问题；
良好的沟通能力与团队协作能力；
有推荐系统，广告系统，搜索引擎等开发经验；
熟练掌握机器学习、深度学习的基础理论和方法，并在自然语言处理任务中有实际应用经验者优先；
熟练使用一种或几种深度学习框架（如tensorflow、caffe、mxnet、pytorch等），或者熟悉spark、hadoop分布式计算编程者优先。
"
负责企业微信跨平台底层开发 以及 IOS\mac版本开发,WXG10-113 企业微信后台开发工程师（广州）,"1、熟练掌握Objective-C  或者 C/C++语言
2、熟练使用常用算法和数据结构
3、熟悉TCP/IP、HTTP、UDP等网络协议
4、了解常见数据库的基本原理和常规用法
5、擅长追求代码执行的效率、健壮性、可读性，理解常见设计模式的内在意义
6、良好问题分析能力、沟通能力"
"1、 围绕核心业务（定制出行、智慧交通、粤港澳互联互通建设），规划创意型、社交传播能力型的运营方案，并推进落地；
2、 协调内外部合作伙伴资源，推进并确保阶段性业务运营目标的实现；
3、 结合数据转化、用户诉求、公交地铁等合作方的建议，不断优化运营策略、权益体系、页面呈现、提出优化建议。",TEG10-高级规划工程师(深圳),"1、 好奇心强：对于产品设计、商业模式，有些较强的个人理解，以及主动学习和研究的自驱力；
2、协作能力强：性格外向，沟通有感染力，具有跨团队合作经历及主动发起和推进项目的能力；
3、其他：有支付、金融等领域的经验更佳。"
